name,calories,fat,carbonhyfrate,fibrin,protein,vitunmius,flavor
Chicken and Biscuit Pot Pie,462,14,52,4,32,0.31,"{""cheese"": 0.25, ""pork"": 0, ""oil"": 0, ""salty"": 0, ""beef"": 0, ""sweet"": 0.75, ""chicken"": 0.5, ""sour"": 0, ""fish"": 0, ""hot"": 0.25}"
Braised Balsamic Chicken,196,7,8,1,24,0.23,"{""cheese"": 0, ""pork"": 0, ""oil"": 1.0, ""salty"": 0, ""beef"": 0, ""sweet"": 0, ""chicken"": 4.0, ""sour"": 0, ""fish"": 0, ""hot"": 0.25}"
Chicken Tortilla Soup,200,15,20,3,14,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 5.0, ""salty"": 0, ""beef"": 0, ""sweet"": 0, ""chicken"": 2.0, ""sour"": 22.0, ""fish"": 0, ""hot"": 4.125}"
Guiltless Chicken Alfredo,280,12,23,0,16,5.61,"{""cheese"": 0.25, ""pork"": 0, ""oil"": 1.0, ""salty"": 0.5, ""beef"": 0, ""sweet"": 0, ""chicken"": 1.0, ""sour"": 1.0, ""fish"": 0, ""hot"": 0.5}"
Tangy Chicken Salad,246,12,11,0,26,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 0.25, ""salty"": 0, ""beef"": 0, ""sweet"": 2.0, ""chicken"": 0, ""sour"": 0, ""fish"": 2.0, ""hot"": 0}"
Quick Italian Turkey Soup,120,5,0,0,8,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 0, ""beef"": 0, ""sweet"": 0, ""chicken"": 2.0, ""sour"": 0, ""fish"": 0, ""hot"": 0.25}"
Chicken and Broccolini Stir Fry,351,13,26,6,34,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 2.0, ""salty"": 0, ""beef"": 1.0, ""sweet"": 3.0, ""chicken"": 0, ""sour"": 0, ""fish"": 0, ""hot"": 2.75}"
Low Fat Tex Mex Chicken and Rice,280,10,28,2,20,6.38,"{""cheese"": 0.5, ""pork"": 0, ""oil"": 1.0, ""salty"": 0, ""beef"": 0, ""sweet"": 0, ""chicken"": 2.0, ""sour"": 1.0, ""fish"": 0, ""hot"": 3.25}"
Minestrone Soup,56,1,11,2,2,0,"{""cheese"": 0.3333333333333333, ""pork"": 0, ""oil"": 2.0, ""salty"": 74.0, ""beef"": 0, ""sweet"": 0, ""chicken"": 6.0, ""sour"": 73.0, ""fish"": 0, ""hot"": 0.75}"
Slow Cooker Skinny Buffalo Chicken Salad,305,12,24,8,26,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 0, ""beef"": 0, ""sweet"": 0, ""chicken"": 1.0, ""sour"": 4.0, ""fish"": 0, ""hot"": 1.0}"
Melt In Your Mouth Broiled Salmon,531,40,4,1,36,0.33,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 0.125, ""beef"": 0, ""sweet"": 2.0, ""chicken"": 0, ""sour"": 0, ""fish"": 0, ""hot"": 0}"
Slow Cooker Skinny White Bean Chicken Chili,142,3,9,6,12,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 1.0, ""beef"": 0, ""sweet"": 0, ""chicken"": 1.0, ""sour"": 1.0, ""fish"": 0, ""hot"": 1.0}"
Parmesan Sesame Chicken Strips,1090,35,159,6,40,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 0.75, ""beef"": 2.0, ""sweet"": 0, ""chicken"": 1.0, ""sour"": 0, ""fish"": 0, ""hot"": 1.0}"
Healthy Egg Salad Sandwich,300,0,0,0,0,0,"{""cheese"": 0.5, ""pork"": 0, ""oil"": 0, ""salty"": 0, ""beef"": 0, ""sweet"": 0, ""chicken"": 0, ""sour"": 1.0, ""fish"": 0, ""hot"": 0}"
Black Bean and Sweet Potato Tostadas,580,25,79,20,19,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 0, ""beef"": 0, ""sweet"": 1.75, ""chicken"": 0, ""sour"": 1.0, ""fish"": 0, ""hot"": 3.0}"
Grilled Malibu Chicken,400,25,11,0,22,0.05,"{""cheese"": 0, ""pork"": 0, ""oil"": 0.3333333333333333, ""salty"": 2.0, ""beef"": 0, ""sweet"": 0, ""chicken"": 3.0, ""sour"": 0, ""fish"": 0, ""hot"": 0}"
Asian Chicken Lettuce Wraps,100,2,7,1,10,1.36,"{""cheese"": 0, ""pork"": 0, ""oil"": 1.0, ""salty"": 0, ""beef"": 0, ""sweet"": 0.5, ""chicken"": 6.0, ""sour"": 0, ""fish"": 0, ""hot"": 1.75}"
Petite Lasagnas,124,5,8,1,11,0,"{""cheese"": 1.0, ""pork"": 0, ""oil"": 0, ""salty"": 0.25, ""beef"": 0, ""sweet"": 0, ""chicken"": 0, ""sour"": 0, ""fish"": 0, ""hot"": 0.125}"
Creamy Chicken Broccoli Casserole,277,12,15,3,29,0,"{""cheese"": 0.5, ""pork"": 0, ""oil"": 0, ""salty"": 0, ""beef"": 0, ""sweet"": 0, ""chicken"": 2.0, ""sour"": 0, ""fish"": 0, ""hot"": 0.125}"
Smoked Turkey Cobb Wraps,640,0,0,0,0,0,"{""cheese"": 0.75, ""pork"": 0, ""oil"": 0, ""salty"": 0.5, ""beef"": 0, ""sweet"": 0, ""chicken"": 0, ""sour"": 0, ""fish"": 0, ""hot"": 0.75}"
Slow Cooker Busy Day Stew,220,8,25,6,15,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 0.75, ""beef"": 0.75, ""sweet"": 0, ""chicken"": 0, ""sour"": 0.25, ""fish"": 0, ""hot"": 1.75}"
Chicken Noodle Casserole,200,8,30,1,21,0.17,"{""cheese"": 0, ""pork"": 0, ""oil"": 1.0, ""salty"": 0.5, ""beef"": 0, ""sweet"": 0, ""chicken"": 2.0, ""sour"": 8.0, ""fish"": 0, ""hot"": 2.75}"
Grilled Cilantro Lime Shrimp Skewers,350,16,42,2,33,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 1.0, ""salty"": 0, ""beef"": 0, ""sweet"": 0, ""chicken"": 0, ""sour"": 0, ""fish"": 0, ""hot"": 1.125}"
Pineapple Chicken Salad Pitas,471,16,49,7,37,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 1.0, ""salty"": 0.125, ""beef"": 0, ""sweet"": 1.25, ""chicken"": 2.0, ""sour"": 0, ""fish"": 0, ""hot"": 1.0}"
Crunchy Baked Chicken,457,23,10,0,48,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 3.0, ""salty"": 1.0, ""beef"": 0, ""sweet"": 2.1875, ""chicken"": 1.0, ""sour"": 0, ""fish"": 0, ""hot"": 1.0625}"
Garlic Lime Marinated Pork Chops,224,6,2,1,38,0,"{""cheese"": 4.0, ""pork"": 4.0, ""oil"": 1.0, ""salty"": 0.25, ""beef"": 0, ""sweet"": 9.0, ""chicken"": 0, ""sour"": 0, ""fish"": 0, ""hot"": 0.5}"
Turkey Burgers with Romaine and Carrot Slaw,376,19,25,2,27,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 1.0, ""beef"": 1.0, ""sweet"": 0, ""chicken"": 0, ""sour"": 0.25, ""fish"": 0, ""hot"": 1.25}"
Grilled Honey Mustard Chicken,260,9,27,1,16,0.04,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 0, ""beef"": 0, ""sweet"": 0, ""chicken"": 12.0, ""sour"": 0, ""fish"": 0, ""hot"": 0.5}"
Roasted Sweet Corn and Tomato Soup,168,7,24,0,8,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 1.0, ""salty"": 0, ""beef"": 0, ""sweet"": 1.0, ""chicken"": 14.0, ""sour"": 0, ""fish"": 0, ""hot"": 1.625}"
Grilled Ratatouille Pasta Salad,622,17,108,13,12,0,"{""cheese"": 0.25, ""pork"": 0, ""oil"": 0.25, ""salty"": 0.5, ""beef"": 0, ""sweet"": 2.75, ""chicken"": 0, ""sour"": 1.2, ""fish"": 0, ""hot"": 2.5}"
Grilled Island Chicken Kabobs,166,8,2,2,16,0.04,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 0, ""beef"": 0, ""sweet"": 0, ""chicken"": 0, ""sour"": 0, ""fish"": 4.0, ""hot"": 0}"
Hawaiian Grilled Chicken,200,3,14,1,30,0.06,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 0.5, ""beef"": 0, ""sweet"": 0, ""chicken"": 4.0, ""sour"": 0, ""fish"": 0, ""hot"": 0.25}"
Crispy Honey Mustard Chicken,330,15,34,1,14,0.02,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 0.125, ""beef"": 0, ""sweet"": 0.75, ""chicken"": 1.0, ""sour"": 0, ""fish"": 0, ""hot"": 1.125}"
Pineapple Teriyaki Grilled Chicken,130,0,6,0,14,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 1.0, ""salty"": 0.75, ""beef"": 0, ""sweet"": 0, ""chicken"": 1.0, ""sour"": 2.0, ""fish"": 0, ""hot"": 0.75}"
Heavenly Halibut,235,14,1,0,26,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 1.0, ""salty"": 0, ""beef"": 0, ""sweet"": 0, ""chicken"": 0, ""sour"": 1.0, ""fish"": 0, ""hot"": 1.1875}"
Penne with Balsamic Chicken and Roasted Asparagus,255,9,30,0,15,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 0.5, ""beef"": 0, ""sweet"": 1.5, ""chicken"": 0.5, ""sour"": 1.2000000000000002, ""fish"": 0, ""hot"": 0.25}"
Caribbean Salad with Sweet Orange Vinaigrette,281,10,18,4,30,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 2.0, ""salty"": 0.125, ""beef"": 0, ""sweet"": 1.75, ""chicken"": 0, ""sour"": 0.6000000000000001, ""fish"": 0, ""hot"": 0.375}"
Spicy Rice and Bean Wraps,190,0,40,5,8,0.14,"{""cheese"": 7.0, ""pork"": 0, ""oil"": 0, ""salty"": 0, ""beef"": 0, ""sweet"": 0, ""chicken"": 6.0, ""sour"": 1.0833333333333333, ""fish"": 0, ""hot"": 0}"
Healthy Southwest Stuffed Peppers,143,0,0,0,0,0,"{""cheese"": 1.0, ""pork"": 0, ""oil"": 2.0, ""salty"": 0.125, ""beef"": 0, ""sweet"": 0, ""chicken"": 0, ""sour"": 0, ""fish"": 0, ""hot"": 4.5}"
Homemade Chicken Nuggets,48,3,3,0,3,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 0, ""beef"": 0, ""sweet"": 0, ""chicken"": 1.0, ""sour"": 0, ""fish"": 0, ""hot"": 0.0625}"
Ricotta Stuffed Shells,320,16,27,3,17,0.25,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 0.25, ""beef"": 0, ""sweet"": 0.75, ""chicken"": 0, ""sour"": 1.0, ""fish"": 0, ""hot"": 0.3125}"
Grilled Chicken Fajita Kabobs,250,8,9,2,33,1.14,"{""cheese"": 3.0, ""pork"": 0, ""oil"": 0, ""salty"": 14.0, ""beef"": 0, ""sweet"": 0, ""chicken"": 2.0, ""sour"": 17.0, ""fish"": 0, ""hot"": 4.0}"
Savory Yogurt Chicken Breasts,402,19,25,1,46,0.07,"{""cheese"": 1.0, ""pork"": 0, ""oil"": 0, ""salty"": 0.125, ""beef"": 0, ""sweet"": 0, ""chicken"": 0.5, ""sour"": 2.0, ""fish"": 0, ""hot"": 0.3333333333333333}"
Mango Quinoa Salad,107,5,15,0,2,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 0, ""beef"": 0, ""sweet"": 0, ""chicken"": 0, ""sour"": 0, ""fish"": 0, ""hot"": 0}"
Slow Cooker Black Bean and Corn Salsa Chicken,334,0,0,0,0,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 0.25, ""beef"": 0, ""sweet"": 0, ""chicken"": 0, ""sour"": 1.0, ""fish"": 0, ""hot"": 1.5}"
Slow Cooker Chicken and Broccoli,226,6,24,2,17,0,"{""cheese"": 6.0, ""pork"": 0, ""oil"": 0, ""salty"": 0.5, ""beef"": 0, ""sweet"": 0, ""chicken"": 1.0, ""sour"": 0, ""fish"": 0, ""hot"": 0.75}"
Slow Cooker Turkey Breast,203,2,32,1,17,0.18,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 1.0, ""beef"": 0, ""sweet"": 1.0, ""chicken"": 0, ""sour"": 1.0, ""fish"": 0, ""hot"": 0.75}"
Spinach Lasagna Rolls,225,5,32,3,13,0,"{""cheese"": 0.5, ""pork"": 0, ""oil"": 0, ""salty"": 0, ""beef"": 0, ""sweet"": 1.5, ""chicken"": 0, ""sour"": 22.0, ""fish"": 0, ""hot"": 1.25}"
Southwestern Cobb Salad,540,33,28,8,39,0,"{""cheese"": 0.75, ""pork"": 0, ""oil"": 0.5, ""salty"": 0.5, ""beef"": 0, ""sweet"": 0.5, ""chicken"": 3.0, ""sour"": 2.0, ""fish"": 0, ""hot"": 0.625}"
Bean and Veggie Enchilada Lasagna,399,7,67,12,16,1.23,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 0, ""beef"": 0.5, ""sweet"": 0, ""chicken"": 0, ""sour"": 18.0, ""fish"": 0, ""hot"": 4.125}"
Asian Turkey Meatballs,140,7,6,1,14,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 1.0, ""salty"": 0, ""beef"": 0, ""sweet"": 1.0, ""chicken"": 1.0, ""sour"": 0, ""fish"": 0, ""hot"": 1.5}"
Spicy Chicken Stew,403,5,56,4,35,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 2.0, ""salty"": 0, ""beef"": 0, ""sweet"": 2.5, ""chicken"": 0.25, ""sour"": 3.6, ""fish"": 8.0, ""hot"": 0.9166666666666666}"
Cajun Chicken Pasta,1270,60,111,6,72,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 2.0, ""salty"": 0, ""beef"": 0, ""sweet"": 0, ""chicken"": 0.75, ""sour"": 2.0, ""fish"": 0, ""hot"": 1.75}"
Feta Avocado Chicken Salad,320,6,9,0,12,0,"{""cheese"": 0.25, ""pork"": 0, ""oil"": 0, ""salty"": 0, ""beef"": 0, ""sweet"": 0, ""chicken"": 2.0, ""sour"": 4.0, ""fish"": 0, ""hot"": 0.3125}"
Tofu Tostadas,500,30,6,6,6,0.12,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 0, ""beef"": 0, ""sweet"": 0, ""chicken"": 1.0, ""sour"": 0, ""fish"": 0, ""hot"": 0}"
Egg Whites and Broccoli Rice Cups,56,2,4,1,6,0.38,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 0, ""beef"": 0, ""sweet"": 0, ""chicken"": 0, ""sour"": 0, ""fish"": 0, ""hot"": 0}"
Black Bean Taco Soup,140,5,19,6,6,6,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 6.5, ""beef"": 0, ""sweet"": 0, ""chicken"": 0, ""sour"": 0, ""fish"": 0, ""hot"": 1.25}"
Crunchy Black Bean Tacos,400,20,41,7,14,0.07,"{""cheese"": 0.25, ""pork"": 0, ""oil"": 1.0, ""salty"": 0, ""beef"": 0, ""sweet"": 0, ""chicken"": 0, ""sour"": 1.0, ""fish"": 0, ""hot"": 0.25}"
Weight Watchers Salsa Roll-Ups,277,9,27,0,23,0,"{""cheese"": 2.0, ""pork"": 0, ""oil"": 0, ""salty"": 0, ""beef"": 0, ""sweet"": 0, ""chicken"": 4.0, ""sour"": 0, ""fish"": 0, ""hot"": 0}"
Spinach and Feta Pasta,230,7,35,0,9,0,"{""cheese"": 4.0, ""pork"": 0, ""oil"": 2.0, ""salty"": 0.5, ""beef"": 0, ""sweet"": 0, ""chicken"": 0, ""sour"": 4.25, ""fish"": 0, ""hot"": 1.0}"
Slow Cooker Apricot Glazed Pork Loin,186,6,8,0,23,0,"{""cheese"": 0, ""pork"": 1.0, ""oil"": 0, ""salty"": 0.5, ""beef"": 0, ""sweet"": 0.3333333333333333, ""chicken"": 0, ""sour"": 0, ""fish"": 0, ""hot"": 1.0}"
Crock Pot Santa Fe Chicken,190,2,23,6,21,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 0, ""beef"": 0, ""sweet"": 0, ""chicken"": 1.0, ""sour"": 0.75, ""fish"": 0, ""hot"": 0.0625}"
Chicken Pot Pie Soup,210,9,20,2,13,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 0.5, ""beef"": 0, ""sweet"": 0, ""chicken"": 2.0, ""sour"": 0, ""fish"": 0, ""hot"": 0.20833333333333331}"
Weight Watchers Barbacoa Beef,144,3,14,0,13,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 1.0, ""beef"": 1.0, ""sweet"": 0, ""chicken"": 0, ""sour"": 14.0, ""fish"": 0, ""hot"": 3.5}"
Sausage and Potato Bake,320,15,31,5,11,0.53,"{""cheese"": 1.0, ""pork"": 0, ""oil"": 1.0, ""salty"": 0.25, ""beef"": 0, ""sweet"": 2.0, ""chicken"": 1.0, ""sour"": 2.0, ""fish"": 0, ""hot"": 2.25}"
Chicken Cacciatore,312,16,7,0,35,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 2.0, ""salty"": 1.0, ""beef"": 0, ""sweet"": 0, ""chicken"": 1.0, ""sour"": 9.0, ""fish"": 0, ""hot"": 3.5}"
Chicken and Hummus Pitas,750,32,71,9,45,0,"{""cheese"": 7.0, ""pork"": 0, ""oil"": 0, ""salty"": 0, ""beef"": 0, ""sweet"": 0, ""chicken"": 6.0, ""sour"": 1.0833333333333333, ""fish"": 0, ""hot"": 0}"
Healthy Bean Burritos,373,9,41,7,27,0,"{""cheese"": 1.0, ""pork"": 0, ""oil"": 1.0, ""salty"": 0.5, ""beef"": 0, ""sweet"": 0, ""chicken"": 0, ""sour"": 0.75, ""fish"": 0, ""hot"": 0.125}"
